,每日PnL,净值,资金占用比例,杠杆倍数
2018-02-09,4890.0,1.29109,0.054295014290250875,1.001425
2018-02-12,-395.0,1.2906950000000001,0.05240664913089459,0.9663
2018-02-13,915.0000000000045,1.2916100000000001,0.05232860538397814,0.965545
2018-02-14,645.0000000000091,1.2922550000000002,0.05208445701506283,0.96152
2018-02-22,1704.999999999991,1.2939600000000002,0.051519212340412394,0.95234
2018-02-23,-569.9999999999909,1.29339,0.05198408832602696,0.96051
2018-02-26,-12020.000000000004,1.2813700000000001,0.05572488820559246,1.02006
2018-02-27,1710.0000000000045,1.28308,0.055405664494809374,1.01557
2018-02-28,-280.00000000000455,1.2828000000000002,0.0566913782351107,1.03891
2018-03-01,-7730.000000000014,1.2750700000000001,0.054265687374026525,0.988465
2018-03-02,1570.0000000000045,1.27664,0.05412602613109413,0.987135
2018-03-05,-279.99999999998636,1.2763600000000002,0.0542390861512426,0.98898
2018-03-06,-1590.0000000000045,1.2747700000000002,0.0540744604909121,0.98475
2018-03-07,-880.0000000000091,1.2738900000000002,0.0536326527408175,0.97603
2018-03-08,5535.0,1.279425,0.05276241280262618,0.964365
2018-03-09,-10379.999999999996,1.2690450000000002,0.05409666323889224,0.98073
2018-03-12,-6090.0,1.262955,0.05656733612836562,1.0206
2018-03-13,260.0,1.2632150000000002,0.05619328459525893,1.01406
2018-03-14,5520.0,1.2687350000000002,0.05725529759957754,1.03774
2018-03-15,-1305.0000000000136,1.26743,0.05853510647530831,1.059845
2018-03-16,2280.0,1.2697100000000001,0.057067164943176,1.035125
2018-03-19,-4480.0,1.26523,0.05678015064454685,1.026285
2018-03-20,-450.0,1.26478,0.058635335789623495,1.05944
2018-03-21,2219.9999999999864,1.2670000000000001,0.05820441988950276,1.0535
2018-03-22,-3249.9999999999864,1.2637500000000002,0.05837792284866469,1.05393
2018-03-23,-12579.999999999993,1.2511700000000001,0.05589028669165661,0.998975
2018-03-26,-3545.00000000002,1.2476250000000002,0.057091834485522505,1.01756
2018-03-27,2365.0,1.2499900000000002,0.05680993447947584,1.014455
2018-03-28,-6265.0,1.243725,0.056854931757422254,1.01017
2018-03-29,690.0,1.244415,0.057471984828212454,1.0217
2018-03-30,10450.0,1.2548650000000001,0.0578730779804999,1.03747
2018-04-02,380.0,1.2552450000000002,0.0567962827973822,1.018475
2018-04-03,7290.0,1.2625350000000002,0.056267628224168045,1.014855
2018-04-04,320.0,1.262855,0.056141956123228726,1.012845
2018-04-09,-18505.0,1.24435,0.05771800538433721,1.02602
2018-04-10,-525.0,1.2438250000000002,0.05829417321568549,1.035825
2018-04-11,-17660.0,1.2261650000000002,0.05687419719205817,0.996245
2018-04-12,-5275.0,1.22089,0.05818779742646758,1.01487
2018-04-13,8540.0,1.22943,0.0571832068519558,1.004325
2018-04-16,-4375.0,1.2250550000000002,0.05655631787960541,0.98978
2018-04-17,340.0000000000073,1.2253950000000002,0.05731808926917443,1.00339
2018-04-18,7050.0,1.2324450000000002,0.0572037697422603,1.00715
2018-04-19,-6350.00000000002,1.2260950000000002,0.058447183945779094,1.02374
2018-04-20,-2895.0,1.2232,0.05722809025506868,1.00002
2018-04-23,-695.0,1.2225050000000002,0.05874679449163808,1.025975
2018-04-24,3630.00000000002,1.2261350000000002,0.05867278072969128,1.027725
2018-04-25,144.99999999997954,1.22628,0.058162083700296845,1.0189
2018-04-26,-1754.9999999999795,1.224525,0.05776039688858946,1.010415
2018-04-27,-2245.0000000000205,1.22228,0.058122197859737545,1.01488
2018-05-02,8390.0,1.2306700000000002,0.058653660201353736,1.03119
2018-05-03,-2955.0,1.2277150000000001,0.06071343919394974,1.06484
2018-05-04,3240.0,1.230955,0.05987976814749524,1.05299
2018-05-07,1059.9999999999727,1.232015,0.05985324853999343,1.05343
2018-05-08,2170.0,1.234185,0.06053241612886238,1.06726
2018-05-09,1270.0,1.235455,0.060334775447102494,1.06487
2018-05-10,210.00000000001364,1.235665,0.059616967381936045,1.05238
2018-05-11,2269.9999999999727,1.237935,0.0600137325465392,1.06133
2018-05-14,-5109.999999999973,1.232825,0.06163315961308378,1.08547
2018-05-15,2699.9999999999727,1.235525,0.05942825924202263,1.04893
2018-05-16,-1000.0000000000068,1.234525,0.06234098134910188,1.09945
2018-05-17,790.0000000000068,1.235315,0.06215321598134889,1.09684
2018-05-18,-13830.000000000007,1.221485,0.059243134381511034,1.03378
2018-05-21,-3320.0000000000136,1.218165,0.06166003784380606,1.07303
2018-05-22,-669.9999999999932,1.217495,0.060824069092686214,1.0579
2018-05-23,-3010.0,1.214485,0.060165008213357934,1.04385
2018-05-24,5560.0,1.220045,0.06009048846558939,1.04733
2018-05-25,-110.0,1.219935,0.060159598667142114,1.04844
2018-05-28,10880.0,1.230815,0.05859499599858631,1.03028
2018-05-29,-1075.0,1.22974,0.059193528713386574,1.039895
2018-05-30,1870.0,1.23161,0.05895445798588839,1.03727
2018-05-31,6045.0,1.237655,0.059131987508635284,1.0455
2018-06-01,640.0,1.238295,0.05963788919441653,1.05499
2018-06-04,-3015.0,1.23528,0.05939952885175831,1.048215
2018-06-05,-5450.0,1.22983,0.0600822471398486,1.055585
2018-06-06,2960.0,1.23279,0.05989596768306038,1.054845
2018-06-07,2915.0,1.235705,0.06034296211474422,1.06523
2018-06-08,-3915.0,1.23179,0.0628547479684037,1.106055
2018-06-11,-3735.0,1.2280550000000001,0.06097194343901536,1.06967
2018-06-12,11545.000000000015,1.2396,0.06219728138109067,1.101425
2018-06-13,510.0,1.24011,0.06167666577964859,1.092655
2018-06-14,304.99999999998636,1.240415,0.06081021271106848,1.07757
2018-06-15,2690.0,1.2431050000000001,0.06005413862867578,1.06648
2018-06-19,-1030.0,1.242075,0.058964957832659065,1.04627
2018-06-20,6260.0,1.248335,0.061613749514353125,1.09878
2018-06-21,-770.0,1.247565,0.060696236268250554,1.08175
2018-06-22,-1705.0,1.24586,0.06068968423418362,1.080155
2018-06-25,-4515.0,1.2413450000000001,0.060837962049228866,1.07887
2018-06-26,-9790.0,1.2315550000000002,0.060773087681833135,1.06922
2018-06-27,90.0,1.231645,0.06154330184428144,1.08285
2018-06-28,3490.0,1.235135,0.06147311832309829,1.08468
2018-06-29,2490.0,1.237625,0.06238392081607919,1.10297
2018-07-02,-10470.0,1.227155,0.06217177129213507,1.08992
2018-07-03,715.0,1.22787,0.06152271820306711,1.07917
2018-07-04,280.0,1.22815,0.06157138785978912,1.08027
2018-07-05,2140.0,1.23029,0.06069617732404556,1.06677
2018-07-06,-160.0,1.23013,0.059580776015543076,1.04703
2018-07-09,1030.0,1.23116,0.06079144871503299,1.0692
2018-07-10,100.0,1.23126,0.06010428341698749,1.0572
2018-07-11,-1605.0,1.2296550000000002,0.06115674721771554,1.07431
2018-07-12,9590.0,1.2392450000000002,0.061152879374135063,1.08262
2018-07-13,-10150.0,1.229095,0.06092433863940542,1.06974
2018-07-16,-2650.0,1.226445,0.05959427450884467,1.04413
2018-07-17,3590.0,1.230035,0.05945164161995391,1.04468
2018-07-18,-3770.0000000000136,1.2262650000000002,0.06018071134705795,1.05425
2018-07-19,5830.00000000002,1.2320950000000002,0.0602748976337052,1.06092
2018-07-20,89.99999999997954,1.232185,0.059512086253281776,1.04757
2018-07-23,3510.0,1.235695,0.060424457491533114,1.06666
2018-07-24,2040.0000000000205,1.237735,0.05926276626256832,1.04788
2018-07-25,439.99999999998636,1.238175,0.05818676681406102,1.02922
2018-07-26,1000.0,1.2391750000000001,0.05790707527185426,1.0251
2018-07-27,-780.0,1.2383950000000001,0.05859358282292808,1.0366
2018-07-30,-3160.000000000007,1.235235,0.05875311175606262,1.03677
2018-07-31,674.9999999999932,1.23591,0.06091689524318114,1.07554
2018-08-01,7210.000000000027,1.2431200000000002,0.054825600102966734,0.97364
2018-08-02,1539.9999999999864,1.24466,0.05489414779939904,0.976065
2018-08-03,-7259.999999999993,1.2374,0.05918037821238081,1.04614
2018-08-06,-5460.0,1.23194,0.06042851112878874,1.06349
2018-08-07,-3450.0,1.22849,0.059635243266123454,1.04659
2018-08-08,15540.0,1.2440300000000002,0.059466491965627845,1.05683
2018-08-09,-3220.0,1.2408100000000002,0.059653532772946716,1.05741
2018-08-10,2620.0,1.24343,0.059011042036946196,1.04823
2018-08-13,-2330.0,1.2411,0.06034968979131416,1.07
2018-08-14,4990.0,1.2460900000000001,0.05960187466394883,1.06099
2018-08-15,3210.0,1.2493,0.06064836308332666,1.0824
2018-08-16,2195.0,1.2514950000000002,0.05585871297927679,0.99867
2018-08-17,-350.0,1.2511450000000002,0.06278820600330097,1.122245
2018-08-20,3635.000000000007,1.2547800000000002,0.062183729418702885,1.11467
2018-08-21,12539.99999999998,1.2673200000000002,0.06058746015213205,1.09691
2018-08-22,5405.000000000007,1.272725,0.05433294702311969,0.98787
2018-08-23,5750.0,1.2784750000000003,0.05883728661100139,1.0746
2018-08-24,-3919.9999999999727,1.274555,0.05443507734071893,0.99115
2018-08-27,-995.0,1.2735600000000002,0.05520258173937624,1.00434
