dt,NHGF rmb
2016/12/6,660.0
2016/12/7,665.0
2016/12/8,665.0
2016/12/9,655.0
2016/12/12,680.0
2016/12/13,675.0
2016/12/14,665.0
2016/12/15,665.0
2016/12/16,665.0
2016/12/19,660.0
2016/12/20,655.0
2016/12/21,655.0
2016/12/22,650.0
2016/12/23,645.0
2016/12/26,640.0
2016/12/27,640.0
2016/12/28,645.0
2016/12/29,645.0
2016/12/30,640.0
2017/1/3,640.0
2017/1/4,635.0
2017/1/5,640.0
2017/1/6,640.0
2017/1/9,640.0
2017/1/10,650.0
2017/1/11,650.0
2017/1/12,655.0
2017/1/13,655.0
2017/1/16,675.0
2017/1/17,670.0
2017/1/18,665.0
2017/1/19,665.0
2017/1/20,660.0
2017/1/23,660.0
2017/1/24,670.0
2017/1/25,670.0
2017/1/26,670.0
2017/2/3,665.0
2017/2/6,655.0
2017/2/7,665.0
2017/2/8,670.0
2017/2/9,675.0
2017/2/10,685.0
2017/2/13,715.0
2017/2/14,720.0
2017/2/15,720.0
2017/2/16,720.0
2017/2/17,720.0
2017/2/20,725.0
2017/2/21,735.0
2017/2/22,730.0
2017/2/23,725.0
2017/2/24,715.0
2017/2/27,730.0
2017/2/28,720.0
2017/3/1,715.0
2017/3/2,715.0
2017/3/3,710.0
2017/3/6,700.0
2017/3/7,695.0
2017/3/8,695.0
2017/3/9,685.0
2017/3/10,680.0
2017/3/13,685.0
2017/3/14,685.0
2017/3/15,695.0
2017/3/16,695.0
2017/3/17,695.0
2017/3/20,700.0
2017/3/21,695.0
2017/3/22,675.0
2017/3/23,675.0
2017/3/24,675.0
2017/3/27,655.0
2017/3/28,640.0
2017/3/29,640.0
2017/3/30,640.0
2017/3/31,640.0
2017/4/5,635.0
2017/4/6,630.0
2017/4/7,615.0
2017/4/10,595.0
2017/4/11,590.0
2017/4/12,565.0
2017/4/13,550.0
2017/4/14,550.0
2017/4/17,530.0
2017/4/18,505.0
2017/4/19,500.0
2017/4/20,500.0
2017/4/21,525.0
2017/4/24,515.0
2017/4/25,515.0
2017/4/26,520.0
2017/4/27,525.0
2017/4/28,540.0
2017/5/2,550.0
2017/5/3,540.0
2017/5/4,510.0
2017/5/5,490.0
2017/5/8,490.0
2017/5/9,485.0
2017/5/10,495.0
2017/5/11,480.0
2017/5/12,475.0
