dt,meg cfr
2017/2/6,975.0
2017/2/7,956.0
2017/2/8,941.5
2017/2/9,935.5
2017/2/10,937.5
2017/2/13,939.5
2017/2/14,915.5
2017/2/15,900.0
2017/2/16,898.0
2017/2/17,892.5
2017/2/21,860.0
2017/2/22,862.0
2017/2/23,858.0
2017/2/24,878.0
2017/2/27,878.0
2017/2/28,822.0
2017/3/1,821.0
2017/3/2,819.0
2017/3/3,818.0
2017/3/6,825.0
2017/3/7,798.0
2017/3/8,774.0
2017/3/9,782.0
2017/3/10,798.0
2017/3/13,813.0
2017/3/14,817.0
2017/3/15,817.0
2017/3/16,825.0
2017/3/17,820.0
2017/3/20,804.0
2017/3/21,783.0
2017/3/22,765.0
2017/3/23,755.0
2017/3/24,757.0
2017/3/27,732.0
2017/3/28,738.0
2017/3/29,738.0
2017/3/30,742.0
2017/3/31,742.0
2017/4/5,755.0
2017/4/6,755.0
2017/4/7,751.0
2017/4/10,736.0
2017/4/11,742.0
2017/4/12,739.0
2017/4/13,737.0
2017/4/17,693.0
2017/4/18,691.0
2017/4/19,688.0
2017/4/20,701.0
2017/4/21,706.0
2017/4/24,682.0
2017/4/25,686.0
2017/4/26,694.0
2017/4/27,693.0
2017/4/28,699.0
2017/5/1,699.0
2017/5/2,695.0
2017/5/3,693.0
2017/5/4,698.0
2017/5/5,700.0
2017/5/8,701.0
2017/5/9,694.0
2017/5/10,675.0
2017/5/11,670.0
2017/5/12,678.0
2017/5/15,691.0
2017/5/16,728.0
2017/5/17,738.0
2017/5/18,739.0
2017/5/19,774.0
2017/5/22,772.0
2017/5/23,762.0
2017/5/24,748.0
2017/5/25,761.0
2017/5/26,761.0
2017/5/31,789.0
2017/6/1,772.0
2017/6/2,755.0
2017/6/5,760.0
2017/6/6,763.0
2017/6/7,769.0
2017/6/8,773.0
2017/6/9,782.0
2017/6/12,793.0
2017/6/13,815.0
2017/6/14,816.0
2017/6/15,803.0
2017/6/16,797.0
2017/6/19,772.0
2017/6/20,755.0
2017/6/21,768.0
2017/6/22,774.0
2017/6/23,777.0
2017/6/26,787.0
2017/6/27,797.0
2017/6/28,805.0
2017/6/29,805.0
2017/6/30,808.0
2017/7/3,807.0
2017/7/4,800.0
2017/7/5,800.0
2017/7/6,809.0
2017/7/7,823.0
2017/7/10,836.0
2017/7/11,847.0
2017/7/12,843.0
2017/7/13,847.0
2017/7/14,850.0
2017/7/17,857.0
2017/7/18,857.0
2017/7/19,860.0
2017/7/20,845.0
2017/7/21,845.0
2017/7/24,847.0
2017/7/25,848.0
2017/7/26,859.0
2017/7/27,858.0
2017/7/28,871.0
2017/7/31,870.0
2017/8/1,887.0
2017/8/2,885.0
2017/8/3,875.0
2017/8/4,880.0
2017/8/7,883.0
2017/8/8,880.0
2017/8/10,873.0
2017/8/11,860.0
2017/8/14,840.0
2017/8/15,852.0
2017/8/16,852.0
2017/8/17,855.0
2017/8/18,865.0
2017/8/21,877.0
2017/8/22,878.0
2017/8/23,873.0
2017/8/24,881.0
2017/8/25,900.0
2017/8/28,905.0
2017/8/29,913.0
2017/8/30,911.0
2017/8/31,919.0
2017/9/5,962.0
2017/9/6,959.0
2017/9/7,975.0
2017/9/8,980.0
2017/9/11,948.0
2017/9/12,950.0
2017/9/13,933.0
2017/9/14,918.0
2017/9/15,906.0
2017/9/18,908.0
2017/9/19,929.0
2017/9/20,935.0
2017/9/21,918.0
2017/9/22,901.0
2017/9/25,879.0
2017/9/26,880.0
2017/9/27,885.0
2017/9/28,882.0
2017/9/29,887.0
2017/10/9,873.0
2017/10/10,865.0
2017/10/11,859.0
2017/10/12,873.0
2017/10/13,890.0
2017/10/16,912.0
2017/10/17,911.0
2017/10/19,902.0
2017/10/20,915.0
2017/10/23,903.0
2017/10/24,896.0
2017/10/25,896.0
2017/10/26,906.0
2017/10/27,900.0
2017/10/30,906.0
2017/10/31,908.0
2017/11/1,904.0
2017/11/2,906.0
2017/11/3,900.0
2017/11/6,910.0
2017/11/7,913.0
2017/11/8,918.0
2017/11/9,919.0
2017/11/10,915.0
2017/11/13,911.0
2017/11/14,913.0
2017/11/15,892.0
2017/11/16,886.0
2017/11/17,890.0
2017/11/20,891.0
2017/11/21,887.0
2017/11/22,894.0
2017/11/23,906.0
2017/11/27,912.0
2017/11/28,911.0
2017/11/29,912.0
2017/11/30,916.0
2017/12/1,916.0
2017/12/4,923.0
2017/12/5,927.0
2017/12/6,923.0
2017/12/7,914.0
2017/12/8,913.0
2017/12/11,911.0
2017/12/12,910.0
2017/12/13,908.0
2017/12/14,905.0
2017/12/15,912.0
