date,HIGH,OI,specific_contract,DEALNUM,VOLUME,SETTLE,LOW,date,CLOSE,OPEN,last_trade_date,contract_issue_date,switch_contract,remain_days
2019-04-03,2936.0,29784.0,IH1904.CFE,,29205.0,2918.4,2873.2,2019-04-03,2924.8,2879.8,2019-04-19,2019-02-18,False,16 days 00:00:00.000000000
2019-04-04,2969.6,30840.0,IH1904.CFE,,34763.0,2952.4,2921.2,2019-04-04,2960.0,2934.0,2019-04-19,2019-02-18,False,15 days 00:00:00.000000000
2019-04-08,3018.8,31276.0,IH1904.CFE,,36430.0,2964.8,2941.2,2019-04-08,2962.2,2990.0,2019-04-19,2019-02-18,False,11 days 00:00:00.000000000
2019-04-09,2988.0,29749.0,IH1904.CFE,,31193.0,2964.0,2949.0,2019-04-09,2968.6,2970.2,2019-04-19,2019-02-18,False,10 days 00:00:00.000000000
2019-04-10,3004.2,29245.0,IH1904.CFE,,34516.0,2981.6,2940.6,2019-04-10,2982.4,2958.4,2019-04-19,2019-02-18,False,9 days 00:00:00.000000000
2019-04-11,3007.4,29304.0,IH1904.CFE,,37309.0,2934.8,2915.2,2019-04-11,2928.6,2985.4,2019-04-19,2019-02-18,False,8 days 00:00:00.000000000
2019-04-12,2939.4,26878.0,IH1904.CFE,,28923.0,2924.2,2909.2,2019-04-12,2928.2,2925.2,2019-04-19,2019-02-18,False,7 days 00:00:00.000000000
2019-04-15,3003.6,27949.0,IH1904.CFE,,40916.0,2941.0,2917.2,2019-04-15,2920.4,2981.0,2019-04-19,2019-02-18,False,4 days 00:00:00.000000000
2019-04-16,3032.0,25069.0,IH1904.CFE,,39902.0,3015.2,2912.2,2019-04-16,3031.4,2919.8,2019-04-19,2019-02-18,False,3 days 00:00:00.000000000
2019-04-17,3041.6,19364.0,IH1904.CFE,,31222.0,3016.8,2997.0,2019-04-17,3015.4,3017.0,2019-04-19,2019-02-18,False,2 days 00:00:00.000000000
2019-04-18,3021.0,10484.0,IH1904.CFE,,19145.0,3006.0,2995.6,2019-04-18,3003.6,3012.0,2019-04-19,2019-02-18,False,1 days 00:00:00.000000000
2019-04-19,3053.6,0.0,IH1904.CFE,,10687.0,3023.71,2986.4,2019-04-19,3024.0,3012.0,2019-04-19,2019-02-18,False,0 days 00:00:00.000000000
2019-04-22,3061.0,31464.0,IH1905.CFE,,46831.0,2976.4,2961.2,2019-04-22,2980.4,3050.0,2019-05-17,2019-03-18,True,25 days 00:00:00.000000000
2019-04-23,3018.8,31302.0,IH1905.CFE,,40891.0,2992.2,2972.0,2019-04-23,2987.8,2972.0,2019-05-17,2019-03-18,False,24 days 00:00:00.000000000
2019-04-24,3008.4,34320.0,IH1905.CFE,,46992.0,2975.4,2934.8,2019-04-24,2977.6,3004.6,2019-05-17,2019-03-18,False,23 days 00:00:00.000000000
2019-04-25,2982.4,32963.0,IH1905.CFE,,42655.0,2949.0,2936.2,2019-04-25,2938.2,2970.4,2019-05-17,2019-03-18,False,22 days 00:00:00.000000000
2019-04-26,2943.0,33923.0,IH1905.CFE,,42437.0,2908.8,2898.4,2019-04-26,2898.4,2923.8,2019-05-17,2019-03-18,False,21 days 00:00:00.000000000
2019-04-29,2979.8,36074.0,IH1905.CFE,,50277.0,2955.2,2911.0,2019-04-29,2944.6,2915.8,2019-05-17,2019-03-18,False,18 days 00:00:00.000000000
2019-04-30,2960.0,32213.0,IH1905.CFE,,39607.0,2948.2,2926.2,2019-04-30,2952.2,2935.2,2019-05-17,2019-03-18,False,17 days 00:00:00.000000000
2019-05-06,2883.8,39474.0,IH1905.CFE,,56211.0,2796.6,2768.0,2019-05-06,2800.6,2858.6,2019-05-17,2019-03-18,False,11 days 00:00:00.000000000
2019-05-07,2841.0,34593.0,IH1905.CFE,,48157.0,2809.4,2780.2,2019-05-07,2810.0,2825.0,2019-05-17,2019-03-18,False,10 days 00:00:00.000000000
2019-05-08,2801.6,34985.0,IH1905.CFE,,43520.0,2765.8,2755.0,2019-05-08,2766.6,2760.4,2019-05-17,2019-03-18,False,9 days 00:00:00.000000000
