日期,华北电石法 SG5
2015-07-29,5200.0
2015-07-30,5200.0
2015-07-31,5200.0
2015-08-03,5150.0
2015-08-04,5150.0
2015-08-05,5100.0
2015-08-06,5100.0
2015-08-07,5100.0
2015-08-10,5100.0
2015-08-11,5100.0
2015-08-12,5100.0
2015-08-13,5100.0
2015-08-14,5100.0
2015-08-17,5100.0
2015-08-18,5100.0
2015-08-19,5100.0
2015-08-20,5100.0
2015-08-21,5100.0
2015-08-24,5100.0
2015-08-25,5100.0
2015-08-26,5100.0
2015-08-27,5100.0
2015-08-28,5100.0
2015-08-31,5100.0
2015-09-01,5100.0
2015-09-02,5100.0
2015-09-07,5080.0
2015-09-08,5070.0
2015-09-09,5070.0
2015-09-10,5070.0
2015-09-11,5050.0
2015-09-14,5050.0
2015-09-15,5040.0
2015-09-16,5040.0
2015-09-17,5000.0
2015-09-18,4980.0
2015-09-21,4950.0
2015-09-22,4950.0
2015-09-23,4950.0
2015-09-24,4950.0
2015-09-25,4950.0
2015-09-28,4900.0
2015-09-29,4900.0
2015-09-30,4900.0
2015-10-08,4900.0
2015-10-09,4850.0
2015-10-12,4850.0
2015-10-13,4850.0
2015-10-14,4850.0
2015-10-15,4850.0
2015-10-16,4850.0
2015-10-19,4850.0
2015-10-20,4850.0
2015-10-21,4850.0
2015-10-22,4850.0
2015-10-23,4850.0
2015-10-26,4850.0
2015-10-27,4850.0
2015-10-28,4850.0
2015-10-29,4850.0
2015-10-30,4800.0
2015-11-02,4800.0
2015-11-03,4800.0
2015-11-04,4750.0
2015-11-05,4750.0
2015-11-06,4750.0
2015-11-09,4700.0
2015-11-10,4700.0
2015-11-11,4700.0
2015-11-12,4700.0
2015-11-13,4650.0
2015-11-16,4650.0
2015-11-17,4650.0
2015-11-18,4650.0
2015-11-19,4600.0
2015-11-20,4600.0
2015-11-23,4600.0
2015-11-24,4600.0
2015-11-25,4600.0
2015-11-26,4600.0
2015-11-27,4600.0
2015-11-30,4600.0
2015-12-01,4600.0
2015-12-02,4550.0
2015-12-03,4550.0
2015-12-04,4500.0
2015-12-07,4500.0
2015-12-08,4500.0
2015-12-09,4500.0
2015-12-10,4500.0
2015-12-11,4500.0
2015-12-14,4500.0
2015-12-15,4500.0
2015-12-16,4500.0
2015-12-17,4500.0
2015-12-18,4500.0
2015-12-21,4500.0
2015-12-22,4500.0
2015-12-23,4550.0
2015-12-24,4600.0
2015-12-25,4650.0
2015-12-28,4650.0
2015-12-29,4650.0
2015-12-30,4650.0
2015-12-31,4650.0
2016-01-04,4650.0
2016-01-05,4650.0
2016-01-06,4650.0
2016-01-07,4650.0
2016-01-08,4650.0
2016-01-11,4650.0
2016-01-12,4650.0
2016-01-13,4650.0
2016-01-14,4650.0
2016-01-15,4600.0
2016-01-18,4550.0
2016-01-19,4550.0
2016-01-20,4550.0
2016-01-21,4550.0
2016-01-22,4550.0
2016-01-25,4550.0
2016-01-26,4600.0
2016-01-27,4600.0
2016-01-28,4600.0
2016-01-29,4600.0
2016-02-01,4600.0
2016-02-02,4600.0
2016-02-03,4600.0
2016-02-04,4600.0
2016-02-05,4600.0
2016-02-15,4650.0
2016-02-16,4700.0
2016-02-17,4700.0
2016-02-18,4700.0
2016-02-19,4700.0
2016-02-22,4800.0
2016-02-23,4800.0
2016-02-24,4800.0
2016-02-25,4800.0
2016-02-26,4800.0
2016-02-29,4800.0
2016-03-01,4800.0
2016-03-02,4800.0
2016-03-03,4800.0
2016-03-04,4800.0
2016-03-07,4850.0
2016-03-08,4900.0
2016-03-09,4900.0
2016-03-10,4950.0
2016-03-11,4950.0
2016-03-14,5000.0
2016-03-15,5050.0
2016-03-16,5100.0
2016-03-17,5150.0
2016-03-18,5150.0
2016-03-21,5150.0
2016-03-22,5150.0
2016-03-23,5200.0
2016-03-24,5200.0
2016-03-25,5200.0
2016-03-28,5200.0
2016-03-29,5200.0
2016-03-30,5200.0
2016-03-31,5200.0
2016-04-01,5200.0
2016-04-05,5200.0
2016-04-06,5200.0
2016-04-07,5200.0
2016-04-08,5150.0
2016-04-11,5150.0
2016-04-12,5150.0
2016-04-13,5150.0
2016-04-14,5150.0
2016-04-15,5150.0
2016-04-18,5150.0
2016-04-19,5150.0
2016-04-20,5150.0
2016-04-21,5150.0
2016-04-22,5100.0
2016-04-25,5100.0
2016-04-26,5100.0
2016-04-27,5100.0
2016-04-28,5100.0
2016-04-29,5100.0
2016-05-03,5100.0
2016-05-04,5050.0
2016-05-05,5000.0
2016-05-06,5000.0
2016-05-09,4950.0
2016-05-10,4950.0
2016-05-11,4950.0
2016-05-12,4950.0
2016-05-13,4950.0
2016-05-16,4950.0
2016-05-17,4950.0
2016-05-18,4950.0
2016-05-19,4950.0
2016-05-20,4950.0
2016-05-23,5000.0
2016-05-24,5000.0
2016-05-25,5000.0
2016-05-26,5000.0
2016-05-27,5000.0
2016-05-30,5000.0
2016-05-31,5000.0
2016-06-01,5000.0
2016-06-02,5000.0
2016-06-03,5000.0
2016-06-06,5000.0
2016-06-07,5000.0
2016-06-08,5000.0
2016-06-13,5000.0
2016-06-14,5000.0
2016-06-15,5000.0
2016-06-16,5000.0
2016-06-17,5000.0
2016-06-20,5000.0
2016-06-21,5000.0
2016-06-22,5000.0
2016-06-23,5000.0
2016-06-24,5050.0
2016-06-27,5100.0
2016-06-28,5100.0
2016-06-29,5100.0
2016-06-30,5100.0
2016-07-01,5100.0
2016-07-04,5150.0
2016-07-05,5250.0
2016-07-06,5250.0
2016-07-07,5250.0
2016-07-08,5250.0
2016-07-11,5250.0
2016-07-12,5250.0
2016-07-13,5300.0
2016-07-14,5300.0
2016-07-15,5300.0
2016-07-18,5300.0
2016-07-19,5300.0
2016-07-20,5300.0
2016-07-21,5300.0
2016-07-22,5300.0
2016-07-25,5300.0
2016-07-26,5300.0
2016-07-27,5300.0
2016-07-28,5300.0
2016-07-29,5300.0
2016-08-01,5300.0
2016-08-02,5400.0
2016-08-03,5400.0
2016-08-04,5400.0
2016-08-05,5400.0
2016-08-08,5450.0
2016-08-09,5500.0
2016-08-10,5550.0
2016-08-11,5550.0
2016-08-12,5550.0
2016-08-15,5600.0
2016-08-16,5600.0
2016-08-17,5600.0
2016-08-18,5650.0
2016-08-19,5650.0
2016-08-22,5650.0
2016-08-23,5650.0
2016-08-24,5700.0
2016-08-25,5700.0
2016-08-26,5700.0
2016-08-29,5700.0
2016-08-30,5700.0
2016-08-31,5700.0
2016-09-01,5700.0
2016-09-02,5700.0
2016-09-05,5700.0
2016-09-06,5700.0
2016-09-07,5700.0
2016-09-08,5700.0
2016-09-09,5750.0
2016-09-12,5800.0
2016-09-13,5800.0
2016-09-14,6080.0
2016-09-19,6200.0
2016-09-20,6250.0
2016-09-21,6250.0
2016-09-22,6250.0
2016-09-23,6250.0
2016-09-26,6650.0
2016-09-27,6650.0
2016-09-28,6650.0
2016-09-29,6650.0
2016-09-30,6650.0
2016-10-10,6650.0
2016-10-11,6750.0
2016-10-12,6750.0
2016-10-13,6750.0
2016-10-14,6750.0
2016-10-17,6750.0
