日期,华北融指1线性（天津9085）
2016-07-22,9000.0
2016-07-25,9000.0
2016-07-26,9000.0
2016-07-27,9000.0
2016-07-28,9000.0
2016-07-29,9000.0
2016-08-01,9100.0
2016-08-02,9400.0
2016-08-03,9400.0
2016-08-04,9400.0
2016-08-05,9400.0
2016-08-08,9400.0
2016-08-09,9400.0
2016-08-10,9400.0
2016-08-11,9400.0
2016-08-12,9400.0
2016-08-15,9500.0
2016-08-16,9500.0
2016-08-17,9500.0
2016-08-18,9500.0
2016-08-19,9500.0
2016-08-22,9500.0
2016-08-23,9500.0
2016-08-24,9500.0
2016-08-25,9500.0
2016-08-26,9500.0
2016-08-29,9500.0
2016-08-30,9500.0
2016-08-31,9500.0
2016-09-01,9500.0
2016-09-02,9500.0
2016-09-05,9500.0
2016-09-06,9500.0
2016-09-07,9500.0
2016-09-08,9500.0
2016-09-09,9500.0
2016-09-12,9500.0
2016-09-13,9500.0
2016-09-14,9500.0
2016-09-19,9500.0
2016-09-20,9500.0
2016-09-21,9500.0
2016-09-22,9500.0
2016-09-23,9500.0
2016-09-26,9500.0
2016-09-27,9500.0
2016-09-28,9500.0
2016-09-29,9500.0
2016-09-30,9500.0
2016-10-10,9400.0
2016-10-11,9500.0
2016-10-12,9700.0
2016-10-13,9700.0
2016-10-14,9700.0
2016-10-17,9700.0
2016-10-18,9700.0
2016-10-19,9650.0
2016-10-20,9650.0
2016-10-21,9650.0
2016-10-24,9650.0
2016-10-25,9650.0
2016-10-26,9650.0
2016-10-27,9650.0
2016-10-28,9650.0
2016-10-31,9650.0
2016-11-01,9900.0
2016-11-02,9900.0
2016-11-03,9900.0
2016-11-04,10000.0
2016-11-07,10000.0
2016-11-08,10300.0
2016-11-09,10300.0
2016-11-10,10300.0
2016-11-11,10300.0
2016-11-14,10350.0
2016-11-15,10350.0
2016-11-16,10200.0
2016-11-17,10200.0
2016-11-18,10200.0
2016-11-21,10000.0
2016-11-22,10200.0
2016-11-23,10200.0
2016-11-24,10100.0
2016-11-25,10150.0
2016-11-28,10150.0
2016-11-29,10150.0
2016-11-30,10000.0
2016-12-01,10000.0
2016-12-02,9900.0
2016-12-05,9900.0
2016-12-06,9900.0
2016-12-07,9900.0
2016-12-08,9900.0
2016-12-09,9900.0
2016-12-12,10300.0
2016-12-13,10400.0
2016-12-14,10400.0
2016-12-15,10400.0
2016-12-16,10400.0
2016-12-19,10400.0
2016-12-20,10400.0
2016-12-21,10400.0
2016-12-22,10400.0
2016-12-23,10400.0
2016-12-26,10400.0
2016-12-27,10400.0
2016-12-28,10400.0
2016-12-29,10400.0
2016-12-30,10400.0
2017-01-03,10300.0
2017-01-04,10300.0
2017-01-05,10300.0
2017-01-06,10300.0
2017-01-09,10300.0
2017-01-10,10300.0
2017-01-11,10300.0
2017-01-12,10300.0
2017-01-13,10300.0
2017-01-16,10300.0
2017-01-17,10300.0
2017-01-18,10250.0
2017-01-19,10250.0
2017-01-20,10200.0
2017-01-23,10250.0
2017-01-24,10250.0
2017-01-25,10250.0
2017-01-26,10250.0
2017-02-03,10250.0
2017-02-06,10200.0
2017-02-07,10200.0
2017-02-08,10250.0
2017-02-09,10250.0
2017-02-10,10250.0
2017-02-13,10250.0
2017-02-14,10250.0
2017-02-15,10250.0
2017-02-16,10100.0
2017-02-17,10000.0
2017-02-20,9950.0
2017-02-21,9900.0
2017-02-22,9900.0
2017-02-23,9800.0
2017-02-24,9700.0
2017-02-27,9700.0
2017-02-28,9700.0
2017-03-01,9700.0
2017-03-02,9700.0
2017-03-03,9700.0
2017-03-06,9700.0
2017-03-07,9700.0
2017-03-08,9700.0
2017-03-09,9700.0
2017-03-10,9500.0
2017-03-13,9500.0
2017-03-14,9500.0
2017-03-15,9500.0
2017-03-16,9500.0
2017-03-17,9500.0
2017-03-20,9500.0
2017-03-21,9500.0
2017-03-22,9500.0
2017-03-23,9500.0
2017-03-24,9700.0
2017-03-27,9700.0
2017-03-28,9500.0
2017-03-29,9500.0
2017-03-30,9500.0
2017-03-31,9500.0
2017-04-05,9500.0
2017-04-06,9500.0
2017-04-07,9500.0
2017-04-10,9500.0
2017-04-11,9500.0
2017-04-12,9500.0
2017-04-13,9400.0
2017-04-14,9400.0
2017-04-17,9200.0
2017-04-18,9200.0
2017-04-19,9050.0
2017-04-20,9050.0
2017-04-21,9050.0
2017-04-24,8900.0
2017-04-25,8900.0
2017-04-26,8800.0
2017-04-27,8800.0
2017-04-28,8900.0
2017-05-02,8900.0
2017-05-03,8900.0
2017-05-04,8800.0
2017-05-05,8750.0
2017-05-08,8850.0
2017-05-09,8800.0
2017-05-10,8800.0
2017-05-11,8800.0
2017-05-12,8800.0
2017-05-15,8900.0
2017-05-16,9000.0
2017-05-17,9000.0
2017-05-18,9000.0
2017-05-19,9000.0
2017-05-22,9200.0
2017-05-23,9150.0
2017-05-24,9100.0
2017-05-25,9100.0
2017-05-26,9050.0
2017-05-31,9050.0
2017-06-01,9050.0
2017-06-02,9100.0
2017-06-05,9000.0
2017-06-06,9000.0
2017-06-07,9000.0
2017-06-08,9000.0
2017-06-09,9050.0
2017-06-12,9050.0
2017-06-13,9050.0
2017-06-14,9050.0
2017-06-15,9050.0
2017-06-16,9050.0
2017-06-19,8950.0
2017-06-20,9000.0
2017-06-21,9000.0
2017-06-22,8950.0
2017-06-23,8850.0
2017-06-26,8850.0
2017-06-27,8850.0
2017-06-28,8900.0
2017-06-29,8950.0
2017-06-30,9000.0
2017-07-03,9000.0
2017-07-04,9050.0
2017-07-05,9000.0
2017-07-06,9000.0
2017-07-07,9000.0
2017-07-10,9000.0
2017-07-11,9050.0
2017-07-12,9050.0
2017-07-13,9050.0
2017-07-14,9050.0
2017-07-17,9100.0
2017-07-18,9100.0
2017-07-19,9150.0
2017-07-20,9250.0
2017-07-21,9350.0
2017-07-24,9400.0
2017-07-25,9400.0
2017-07-26,9400.0
2017-07-27,9400.0
2017-07-28,9400.0
2017-07-31,9300.0
2017-08-01,9400.0
2017-08-02,9400.0
2017-08-03,9400.0
2017-08-04,9400.0
2017-08-07,9450.0
2017-08-08,9450.0
2017-08-09,9450.0
2017-08-10,9200.0
2017-08-11,9450.0
2017-08-14,9450.0
2017-08-15,9450.0
2017-08-16,9350.0
2017-08-17,9450.0
2017-08-18,9450.0
2017-08-21,9500.0
2017-08-22,9500.0
2017-08-23,9600.0
2017-08-24,9600.0
2017-08-25,9700.0
2017-08-28,9700.0
2017-08-29,9750.0
2017-08-30,9750.0
2017-08-31,9750.0
2017-09-01,9900.0
2017-09-04,10100.0
2017-09-05,10200.0
2017-09-06,10200.0
2017-09-07,10200.0
2017-09-08,10100.0
2017-09-11,10000.0
2017-09-12,10000.0
2017-09-13,10000.0
2017-09-14,10000.0
2017-09-15,10000.0
2017-09-18,9900.0
2017-09-19,9800.0
2017-09-20,9700.0
2017-09-21,9700.0
2017-09-22,9550.0
2017-09-25,9600.0
2017-09-26,9650.0
2017-09-27,9700.0
2017-09-28,9700.0
2017-09-29,9650.0
2017-10-09,9650.0
2017-10-10,9700.0
2017-10-11,9700.0
2017-10-12,9650.0
