,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2017-12-11,1950.0,1.58319,0.040272014098118356,0.870775,0.029928500000000007
2017-12-12,2220.0,1.58541,0.038638680215212474,0.834645,0.015614900000000001
2017-12-13,695.0,1.5861049999999999,0.05049590033446714,1.10394,0.032433100000000006
2017-12-14,1390.0,1.587495,0.0496227704654188,1.08457,0.012677
2017-12-15,-4600.0,1.5828950000000002,0.05024837402354547,1.09507,0.0
2017-12-18,-10095.0,1.5728,0.04632671032553409,0.999295,0.020629700000000004
2017-12-19,-1705.0,1.5710950000000001,0.042688507060362355,0.95811,0.033777100000000004
2017-12-20,1160.0,1.572255,0.04074135556891217,0.87374,0.042743100000000006
2017-12-21,6240.0,1.578495,0.041678750962150665,0.89881,0.0020755
2017-12-22,8785.0,1.58728,0.044259330426893805,0.963585,0.008540000000000002
2017-12-25,-20095.0,1.567185,0.040931542861882934,0.91639,0.0637597
2017-12-26,-2600.0,1.5645850000000001,0.040869144213960894,0.872575,0.05587025
2017-12-27,-6670.0,1.557915,0.04575166167602212,0.97776,0.037402750000000005
2017-12-28,-525.0,1.55739,0.04594128638298693,0.98155,0.02939195
2017-12-29,1960.0,1.55935,0.04602735113989803,0.985025,0.029893850000000003
2018-01-02,285.0,1.559635,0.04670458152067631,0.99963,0.015754900000000002
2018-01-03,-1110.0,1.558525,0.046028713045989,0.98397,0.014158900000000002
2018-01-04,7205.0,1.5657299999999998,0.04700146257656174,1.01098,0.014486850000000003
2018-01-05,-1235.0,1.564495,0.04363558208878904,0.934995,0.024052
2018-01-08,4525.0,1.56902,0.04645903175230398,1.001145,0.025135250000000005
2018-01-09,-3340.0,1.56568,0.05146227198405804,1.110835,0.021419300000000002
2018-01-10,-215.0,1.565465,0.04959893705704056,1.06912,0.0329994
2018-01-11,-540.0,1.5649250000000001,0.05109062734635845,1.1017,0.04408600000000001
2018-01-12,-7190.0,1.557735,0.04971397574041798,1.06546,0.0110131
2018-01-15,-6010.0,1.551725,0.04610088772172905,0.98067,0.026325600000000005
2018-01-16,5580.0,1.557305,0.04922022339875619,1.05437,0.021890400000000004
2018-01-17,-885.0,1.5564200000000001,0.04341077601161641,0.96522,0.04423535000000001
2018-01-18,-775.0,1.555645,0.04244313451976512,0.943235,0.0155505
2018-01-19,1710.0,1.557355,0.04375530948306584,0.973465,0.0155834
2018-01-22,775.0,1.55813,0.047859292870299656,1.0653,0.02359
2018-01-23,4200.0,1.56233,0.046178336202978884,0.99124,0.0275912
2018-01-24,-4085.0,1.5582449999999999,0.04648280597723722,0.99538,0.030169650000000003
2018-01-25,-2665.0,1.55558,0.03965000192854112,0.841825,0.03705380000000001
2018-01-26,-1515.0,1.554065,0.03974846611949951,0.84311,0.016663500000000005
2018-01-29,1335.0,1.5554000000000001,0.04566381638163816,1.01465,0.07811745
2018-01-30,890.0,1.55629,0.04218558237860554,0.9379,0.04907140000000001
2018-01-31,-4145.0,1.5521449999999999,0.04374162852053127,0.969905,0.05420660000000001
2018-02-01,6940.0,1.559085,0.041914648656102775,0.93355,0.018569250000000002
2018-02-02,4195.0,1.56328,0.04126551225628167,0.921565,0.04751810000000001
2018-02-05,10200.0,1.57348,0.04409766886137733,0.99124,0.05818855000000001
2018-02-06,7155.0,1.580635,0.04966595703625443,1.085525,0.0570562
2018-02-07,-385.0,1.58025,0.044358582502768557,1.001395,0.06070015
2018-02-08,4335.0,1.5845850000000001,0.04726966366588097,1.07004,0.0768103
2018-02-09,2170.0,1.5867550000000001,0.040832579698819295,0.92559,0.022841700000000003
2018-02-12,1275.0,1.58803,0.03952853535512553,0.89675,0.06953905
2018-02-13,1110.0,1.58914,0.03971059818518192,0.90151,0.018974900000000003
2018-02-14,1865.0,1.591005,0.04444674906741337,0.9745,0.03170535
2018-02-22,1170.0,1.5921750000000001,0.038639722392324966,0.84316,0.052562300000000006
2018-02-23,7690.0,1.5998649999999999,0.03860606988714674,0.88235,0.022027800000000004
2018-02-26,2600.0,1.602465,0.043812875788238746,1.00298,0.06841030000000001
2018-02-27,1995.0,1.60446,0.03709983421213368,0.85036,0.08073135000000002
2018-02-28,-655.0,1.603805,0.03584154557443081,0.783955,0.06892880000000001
2018-03-01,2010.0,1.605815,0.03601622851947454,0.82622,0.05123975
2018-03-02,2870.0,1.608685,0.042150949377908045,0.96868,0.07983080000000001
2018-03-05,3835.0,1.61252,0.03696084389650981,0.81413,0.050445250000000004
2018-03-06,-4685.0,1.6078350000000001,0.04032879617622455,0.926315,0.06764239999999999
2018-03-07,3445.0,1.61128,0.04804590139516409,1.03242,0.07419590000000001
2018-03-08,1360.0,1.6126399999999999,0.044541993253298946,0.98926,0.048487
2018-03-09,2950.0,1.61559,0.04770857705234621,1.06505,0.05244120000000001
